DATE,IPUTIL
1998-03-01,84.7144
1998-04-01,83.9198
1998-05-01,85.5876
1998-06-01,86.9970
1998-07-01,87.2702
1998-08-01,86.7827
1998-09-01,88.2412
1998-10-01,87.3481
1998-11-01,85.1378
1998-12-01,85.3451
1999-01-01,87.3329
1999-02-01,85.9169
1999-03-01,88.5105
1999-04-01,87.8990
1999-05-01,87.1492
1999-06-01,88.4027
1999-07-01,90.3016
1999-08-01,89.1793
1999-09-01,88.5690
1999-10-01,88.2645
1999-11-01,86.9753
1999-12-01,88.4573
2000-01-01,88.3443
2000-02-01,89.4767
2000-03-01,87.0070
2000-04-01,88.8574
2000-05-01,92.1429
2000-06-01,90.7908
2000-07-01,88.1044
2000-08-01,90.7035
2000-09-01,91.1595
2000-10-01,90.2762
2000-11-01,93.5060
2000-12-01,95.6830
2001-01-01,93.9057
2001-02-01,92.0578
2001-03-01,91.4254
2001-04-01,90.9805
2001-05-01,90.2557
2001-06-01,90.5320
2001-07-01,88.9631
2001-08-01,91.3519
2001-09-01,89.3658
2001-10-01,90.1648
2001-11-01,88.1329
2001-12-01,86.9355
2002-01-01,88.8619
2002-02-01,89.2752
2002-03-01,91.6828
2002-04-01,93.7950
2002-05-01,93.2060
2002-06-01,93.2716
2002-07-01,94.1880
2002-08-01,92.1286
2002-09-01,93.8313
2002-10-01,95.0098
2002-11-01,94.7258
2002-12-01,93.7955
2003-01-01,95.2482
2003-02-01,97.3421
2003-03-01,94.0287
2003-04-01,94.2482
2003-05-01,94.1571
2003-06-01,91.6663
2003-07-01,94.4649
2003-08-01,94.9361
2003-09-01,94.0566
2003-10-01,94.5662
2003-11-01,94.7796
2003-12-01,95.8989
2004-01-01,97.5255
2004-02-01,98.4253
2004-03-01,94.4166
2004-04-01,95.8968
2004-05-01,97.7861
2004-06-01,95.5369
2004-07-01,94.0917
2004-08-01,91.8603
2004-09-01,95.7210
2004-10-01,95.9619
2004-11-01,96.2823
2004-12-01,98.0639
2005-01-01,96.5151
2005-02-01,95.3753
2005-03-01,98.2593
2005-04-01,96.3903
2005-05-01,96.2996
2005-06-01,99.4156
2005-07-01,99.4575
2005-08-01,99.1053
2005-09-01,100.3242
2005-10-01,98.3403
2005-11-01,97.4209
2005-12-01,100.3057
2006-01-01,92.1978
2006-02-01,95.5707
2006-03-01,97.9429
2006-04-01,97.1612
2006-05-01,98.3413
2006-06-01,98.7904
2006-07-01,100.2647
2006-08-01,99.4357
2006-09-01,96.4063
